,precision,recall,f1-score,support
weighted avg,0.544288170362545,0.5206243032329989,0.5107307201804805,2691.0
macro avg,0.3367668623235109,0.3517304109229158,0.31610004119559937,2691.0
146101,0.8248587570621468,0.8957055214723927,0.8588235294117647,163.0
146121,0.8299319727891157,0.953125,0.8872727272727273,128.0
146131,0.8558558558558559,0.8796296296296297,0.867579908675799,108.0
158171,0.8095238095238095,0.6538461538461539,0.723404255319149,78.0
134161,0.6666666666666666,0.5230769230769231,0.5862068965517241,65.0
071141,0.75,0.9375,0.8333333333333334,64.0
044153,0.746031746031746,0.8103448275862069,0.7768595041322314,58.0
061131,0.8571428571428571,0.9411764705882353,0.897196261682243,51.0
041023,0.7230769230769231,0.94,0.8173913043478261,50.0
146102,0.5476190476190477,0.46938775510204084,0.5054945054945055,49.0
044163,0.4,0.08695652173913043,0.14285714285714285,46.0
131111,0.7560975609756098,0.6888888888888889,0.7209302325581395,45.0
131201,0.7619047619047619,0.35555555555555557,0.48484848484848486,45.0
054123,0.38095238095238093,0.1951219512195122,0.25806451612903225,41.0
146122,0.7391304347826086,0.4594594594594595,0.5666666666666667,37.0
146103,0.8888888888888888,0.7272727272727273,0.8,33.0
061201,0.7916666666666666,0.6129032258064516,0.6909090909090909,31.0
044183,0.5,0.7586206896551724,0.6027397260273972,29.0
146132,0.64,0.5714285714285714,0.6037735849056604,28.0
131301,0.9090909090909091,0.35714285714285715,0.5128205128205128,28.0
044213,0.4838709677419355,0.5555555555555556,0.5172413793103449,27.0
114121,0.75,0.5555555555555556,0.6382978723404256,27.0
094131,0.8421052631578947,0.5925925925925926,0.6956521739130435,27.0
041203,0.6774193548387096,0.8076923076923077,0.7368421052631579,26.0
071142,0.5789473684210527,0.4230769230769231,0.4888888888888889,26.0
214121,0.7142857142857143,0.4,0.5128205128205128,25.0
114123,0.5,0.16666666666666666,0.25,24.0
014241,0.6363636363636364,0.875,0.7368421052631579,24.0
091401,0.6896551724137931,0.8695652173913043,0.7692307692307693,23.0
064181,0.0,0.0,0.0,21.0
114122,0.5454545454545454,0.2857142857142857,0.375,21.0
061202,0.6666666666666666,0.3,0.41379310344827586,20.0
146123,0.8947368421052632,0.85,0.8717948717948718,20.0
044173,0.45,0.47368421052631576,0.46153846153846156,19.0
014142,0.2222222222222222,0.1111111111111111,0.14814814814814814,18.0
064172,0.5882352941176471,0.5555555555555556,0.5714285714285714,18.0
134162,0.1111111111111111,0.05555555555555555,0.07407407407407407,18.0
064183,0.5,0.058823529411764705,0.10526315789473684,17.0
064171,0.4,0.25,0.3076923076923077,16.0
061203,0.375,0.1875,0.25,16.0
041013,0.875,0.9333333333333333,0.9032258064516129,15.0
064182,0.0,0.0,0.0,15.0
194101,0.23076923076923078,0.21428571428571427,0.2222222222222222,14.0
091501,0.38095238095238093,0.5714285714285714,0.45714285714285713,14.0
054122,0.2222222222222222,0.14285714285714285,0.17391304347826086,14.0
146133,0.8888888888888888,0.6153846153846154,0.7272727272727273,13.0
074103,0.5384615384615384,0.5384615384615384,0.5384615384615384,13.0
054103,0.45454545454545453,0.38461538461538464,0.4166666666666667,13.0
014143,0.35294117647058826,0.46153846153846156,0.4,13.0
014141,0.4,0.9230769230769231,0.5581395348837209,13.0
214122,0.5,0.38461538461538464,0.43478260869565216,13.0
074133,0.23076923076923078,0.23076923076923078,0.23076923076923078,13.0
131202,0.2631578947368421,0.38461538461538464,0.3125,13.0
158131,0.15789473684210525,0.25,0.1935483870967742,12.0
111201,0.5384615384615384,0.5833333333333334,0.56,12.0
044211,0.2727272727272727,0.25,0.2608695652173913,12.0
114102,0.0,0.0,0.0,11.0
074141,0.0,0.0,0.0,11.0
071143,0.5454545454545454,0.5454545454545454,0.5454545454545454,11.0
061121,0.7333333333333333,1.0,0.8461538461538461,11.0
044113,0.125,0.09090909090909091,0.10526315789473684,11.0
224121,0.0,0.0,0.0,11.0
064131,0.5,0.9,0.6428571428571429,10.0
044162,0.2,0.1,0.13333333333333333,10.0
054102,0.2727272727272727,0.3,0.2857142857142857,10.0
184103,0.2727272727272727,0.3,0.2857142857142857,10.0
104101,0.5454545454545454,0.6,0.5714285714285714,10.0
081301,0.45454545454545453,1.0,0.625,10.0
114131,0.5,0.1,0.16666666666666666,10.0
044123,0.5555555555555556,0.5,0.5263157894736842,10.0
061132,0.7142857142857143,0.5,0.5882352941176471,10.0
054101,0.5,0.3333333333333333,0.4,9.0
131112,0.21428571428571427,0.3333333333333333,0.2608695652173913,9.0
054151,0.4,0.2222222222222222,0.2857142857142857,9.0
044181,0.375,0.3333333333333333,0.35294117647058826,9.0
194131,0.5454545454545454,0.6666666666666666,0.6,9.0
158132,0.36363636363636365,0.4444444444444444,0.4,9.0
134163,0.42857142857142855,0.3333333333333333,0.375,9.0
074142,0.1111111111111111,0.1111111111111111,0.1111111111111111,9.0
104103,0.5,0.3333333333333333,0.4,9.0
014221,0.4,0.2222222222222222,0.2857142857142857,9.0
